movie_id,cast_name,cast_id,order
33689,Ashley Olsen,67848,2
33689,Mary-Kate Olsen,67849,3
33689,Jane Sibbett,92255,4
33689,Philip Bosco,6541,5
33689,Michelle Grisom,1331570,6
33689,Desmond Robertson,1329538,7
33689,Tiny Mills,1331571,8
33689,Shanelle Henry,1331572,9
33689,Michèle Lonsdale Smith,1331573,10
33689,Sean Orr,1331574,11
33689,Elizabeth Walsh,1331575,12
9603,Alicia Silverstone,5588,0
9603,Stacey Dash,58150,1
9603,Brittany Murphy,328,2
9603,Paul Rudd,22226,3
9603,Donald Faison,49002,4
9603,Elisa Donovan,58151,5
9603,Breckin Meyer,33654,6
9603,Jeremy Sisto,23958,7
9603,Dan Hedaya,6486,8
9603,Wallace Shawn,12900,9
9603,Twink Caplan,66160,10
9603,Justin Walker,30881,11
9603,Julie Brown,40680,12
9603,Nicole Bilderback,17775,13
9312,Christopher Lambert,38559,0
9312,Robin Shou,57250,1
9312,Linden Ashby,57251,2
9312,Cary-Hiroyuki Tagawa,11398,3
9312,Bridgette Wilson,20751,4
9312,Talisa Soto,10680,5
9312,Trevor Goddard,57252,6
9312,Chris Casamassa,57253,7
9312,François Petit,57254,8
9312,Keith Cooke,57255,9
9312,Ed Boon,57256,10
577,Nicole Kidman,2227,0
577,Matt Dillon,2876,1
577,Joaquin Phoenix,73421,2
577,Casey Affleck,1893,3
577,Illeana Douglas,7796,4
577,Alison Folland,2841,5
577,Dan Hedaya,6486,6
577,Wayne Knight,4201,7
577,David Cronenberg,224,8
577,Kurtwood Smith,2115,9
577,Holland Taylor,11318,10
577,Susan Traylor,4158,11
577,Maria Tucci,1185405,12
577,Tim Hopper,33835,13
807,Brad Pitt,287,0
807,Morgan Freeman,192,1
807,Gwyneth Paltrow,12052,2
807,John C. McGinley,11885,3
807,Kevin Spacey,1979,4
807,R. Lee Ermey,8655,5
807,Richard Roundtree,6487,6
807,Richard Schiff,31028,7
807,Julie Araskog,1558263,8
807,Mark Boone Junior,534,9
807,John Cassini,12055,10
807,Reg E. Cathey,38951,11
807,Peter Crombie,30487,12
807,Hawthorne James,12056,13
807,Michael Massee,9289,14
807,Leland Orser,2221,15
807,Richard Portnow,4255,16
807,Daniel Zacapa,12054,17
807,Alfonso Freeman,52603,18
807,Harris Savides,10688,19
807,Andrew Kevin Walker,12047,20
807,Richmond Arquette,7472,21
807,Pamala Tyson,128203,22
807,Emily Wagner,157434,23
807,Shannon Wilcox,95469,24
807,George Christy,1583695,25
807,Endre Hules,43461,26
807,William Davidson,1025337,27
807,Bob Collins,1055173,28
807,Dominique Jennings,95200,29
807,Allan Kolman,31533,30
807,Gene Borkan,152638,31
807,Mario Di Donato,176969,32
807,Harrison White,1487328,33
807,Bob Stephenson,17449,34
807,Michael Reid MacKay,174037,35
807,Lennie Loftin,42200,36
807,Martin Serene,1107809,37
807,David Correia,91843,38
807,Lexie Bigham,9783,39
807,Evan Mirand,175120,40
807,Paul Eckstein,1492029,41
807,Rachel Flanagan,1114784,42
807,Heidi Schanz,11321,43
807,Brian Evers,168162,44
807,James Deeth,54433,45
807,Charles A. Tamburro,16563,46
807,Charles S. Dutton,17764,47
807,Arthur Max,944,48
10530,Irene Bedard,65529,0
10530,Mel Gibson,2461,1
10530,David Ogden Stiers,28010,2
10530,John Kassir,31365,3
10530,Russell Means,3203,4
10530,Christian Bale,3894,5
10530,Judy Kuhn,110316,6
10530,Linda Hunt,12516,7
10530,Danny Mann,52699,8
10530,Billy Connolly,9188,9
10530,Joe Baker,181486,10
10530,Frank Welker,15831,11
10530,Michelle St. John,163070,12
10530,James Apaumut Fall,950126,13
10530,Gordon Tootoosis,37430,14
10530,Jim Cummings,12077,15
629,Stephen Baldwin,9045,0
629,Gabriel Byrne,5168,1
629,Chazz Palminteri,9046,2
629,Kevin Pollak,7166,3
