movie_id,genre
8860,Adventure
8860,Comedy
8860,Crime
8860,Thriller
9619,Action
9619,Adventure
9619,Thriller
4104,Comedy
4104,Drama
4104,Romance
1968,Drama
1968,Comedy
1968,Romance
66,Crime
66,Drama
66,Thriller
11419,Comedy
638,Drama
638,Thriller
638,Mystery
9366,Crime
9366,Drama
9366,Thriller
9446,Comedy
9446,Family
9403,Comedy
9403,Drama
10003,Thriller
10003,Action
10003,Romance
10003,Science Fiction
10003,Adventure
884,Drama
884,Thriller
884,Romance
1624,Comedy
16052,Drama
4477,Crime
4477,Thriller
4477,Drama
9405,Action
9405,Science Fiction
9360,Adventure
9360,Horror
9360,Thriller
9434,Action
9434,Comedy
9434,Thriller
9434,Romance
9611,Comedy
10357,Science Fiction
10357,Action
10357,Drama
10357,Thriller
816,Science Fiction
816,Comedy
816,Crime
2163,Drama
2163,Action
2163,Thriller
18,Adventure
18,Fantasy
18,Action
18,Thriller
18,Science Fiction
2058,Comedy
2058,Romance
330,Adventure
330,Action
330,Science Fiction
1701,Action
1701,Thriller
1701,Crime
1639,Action
1639,Adventure
1639,Thriller
415,Action
415,Crime
415,Fantasy
11970,Animation
11970,Family
11970,Fantasy
11970,Adventure
11970,Comedy
11970,Romance
8874,Comedy
8874,Romance
266,Drama
754,Action
754,Crime
754,Science Fiction
754,Thriller
607,Action
607,Adventure
607,Comedy
607,Science Fiction
686,Drama
686,Science Fiction
686,Mystery
4421,Action
4421,Drama
9387,Adventure
9387,Fantasy
9387,Action
10603,Adventure
10603,Comedy
10603,Family
10603,Romance
2142,Action
2142,Crime
2142,Drama
8413,Horror
8413,Science Fiction
8413,Mystery
10336,Action
10336,Adventure
10336,Fantasy
10336,Horror
10336,Science Fiction
10336,Thriller
20737,Comedy
20737,Family
20737,Drama
9413,Comedy
9413,Romance
8834,Action
8834,Drama
8834,Mystery
8834,Thriller
4961,Fantasy
4961,Horror
4961,Thriller
9772,Action
9772,Thriller
6072,Drama
6072,Thriller
1669,Action
1669,Adventure
1669,Thriller
468,Drama
468,Romance
10806,Comedy
10806,Romance
9433,Action
9433,Adventure
9433,Drama
6623,Action
6623,Thriller
2118,Crime
2118,Drama
2118,Mystery
2118,Thriller
978,Adventure
978,Drama
978,History
9437,Drama
9437,Mystery
9437,Thriller
9437,Crime
10351,Horror
2649,Drama
2649,Thriller
2649,Mystery
10155,Thriller
68924,Drama
2255,Comedy
2255,Drama
2255,Romance
9427,Comedy
3597,Horror
3597,Thriller
3597,Mystery
1813,Drama
1813,Horror
1813,Mystery
1813,Thriller
782,Thriller
782,Science Fiction
782,Mystery
782,Romance
9827,Horror
9827,Science Fiction
9827,Thriller
8067,Fantasy
8067,Drama
8067,Comedy
8067,Thriller
8067,Science Fiction
8067,Romance
10890,Action
10890,Comedy
1281,Comedy
11975,Drama
11975,Crime
11975,Thriller
4995,Drama
9281,Crime
9281,Drama
9281,Romance
9281,Thriller
563,Adventure
563,Action
563,Thriller
563,Science Fiction
10215,Comedy
10215,Drama
10215,Fantasy
10215,Romance
9823,Action
9823,Fantasy
9823,Science Fiction
37165,Comedy
37165,Drama
4824,Action
4824,Thriller
4824,Adventure
4824,Crime
9444,Animation
9444,Family
9414,Comedy
9414,Thriller
9414,Crime
9414,Action
8078,Science Fiction
8078,Horror
8078,Action
11831,Drama
11831,History
11831,Mystery
2639,Comedy
2639,Drama
9574,Comedy
9574,Family
9574,Science Fiction
489,Drama
9714,Comedy
9714,Family
8197,Crime
8197,Drama
8197,Mystery
8197,Thriller
6283,Comedy
6283,Family
4233,Horror
4233,Mystery
10217,Drama
597,Drama
597,Romance
597,Thriller
714,Adventure
714,Action
714,Thriller
9922,Drama
9922,Adventure
547,Drama
547,Romance
184,Comedy
184,Crime
184,Romance
115,Comedy
115,Crime
9410,Comedy
9410,Drama
9410,Romance
586,Comedy
586,Drama
2666,Mystery
2666,Science Fiction
11258,Thriller
9490,Comedy
9490,Crime
9411,Thriller
9411,Fantasy
9411,Crime
9411,Drama
11220,Drama
11220,Action
11220,Romance
6116,Adventure
6116,Fantasy
6116,Drama
6116,Comedy
6116,Music
9457,Adventure
9457,Action
9457,Horror
9457,Science Fiction
11702,Action
11702,Drama
11702,Crime
11702,Thriller
11568,Music
11568,Action
11568,Comedy
11568,Crime
11003,Romance
11003,Comedy
10153,Science Fiction
2898,Comedy
2898,Romance
9558,Thriller
9558,Crime
11808,Thriller
11808,Crime
11808,Action
9313,Action
9313,Adventure
9313,Drama
617,Thriller
5910,Crime
5910,Drama
2157,Adventure
2157,Family
2157,Science Fiction
8838,Action
8838,Crime
8838,Drama
8838,Thriller
795,Drama
795,Fantasy
795,Romance
9469,Drama
9449,Adventure
9449,Fantasy
9449,Action
9449,Comedy
9449,Family
10622,Crime
10622,Action
10622,Comedy
10216,Science Fiction
10216,Action
10216,Horror
9448,Action
9448,Adventure
9448,Comedy
9448,Thriller
4415,Crime
4415,Drama
4415,History
4415,Romance
8656,Action
8656,Drama
8656,Romance
18937,Fantasy
18937,Animation
18937,Drama
