movie_id,title,original_language,release_date,runtime,budget,revenue,popularity,vote_count,vote_average,collection,oscar_nominations
2771,American Splendor,en,15/08/2003,101,,,7.1,121,7.1,,1
209276,Starred Up,en,09/09/2013,106,,,7,324,7.1,,0
421,The Life Aquatic with Steve Zissou,en,10/12/2004,119,50000000.00,34808403.00,6.9,781,7.1,,0
11020,Picnic at Hanging Rock,en,02/09/1975,115,440000.00,83078.00,6.8,156,7.1,,0
10024,My Sister's Keeper,en,26/06/2009,109,30000000.00,95714875.00,6.8,614,7.1,,0
8088,Broken Embraces,es,01/03/2009,127,18000000.00,37473982.00,6.8,167,7.1,,1
1857,The Transformers: The Movie,en,08/08/1986,84,6000000.00,5849647.00,6.8,134,7.1,,0
1116,The Wind That Shakes the Barley,en,23/06/2006,124,6500000.00,22889018.00,6.8,155,7.1,,0
382399,High Strung,en,08/04/2016,96,,,6.6,256,7.1,StreetDance Collection,0
1730,INLAND EMPIRE,en,06/09/2006,180,,,6.6,249,7.1,,0
76758,The Flowers of War,zh,15/12/2011,145,94000000.00,95311434.00,6.6,193,7.1,,0
11236,The Secret Garden,en,13/08/1993,102,18000000.00,31181347.00,6.5,232,7.1,The Secret Garden Collection,1
4538,The Darjeeling Limited,en,29/09/2007,91,16000000.00,24377151.00,6.5,876,7.1,,0
5693,Hoosiers,en,14/11/1986,114,9000000.00,28607524.00,6.5,143,7.1,,2
121835,Lore,de,02/08/2012,108,4300000.00,2362019.00,6.5,104,7.1,,0
336050,Son of Saul,hu,11/06/2015,107,1000000.00,1777043.00,6.4,285,7.1,,0
17443,...And Justice for All,en,19/10/1979,119,6000000.00,33300000.00,6.3,118,7.1,,2
197950,The Connection,fr,03/12/2014,135,26000000.00,12062441.00,6.2,259,7.1,,0
11533,Jason and the Argonauts,en,19/06/1963,104,2500000.00,479.00,6.2,138,7.1,,0
317557,Queen of Katwe,en,23/09/2016,124,15000000.00,10367161.00,6.2,103,7.1,,0
9609,Of Mice and Men,en,16/09/1992,110,,,6.1,147,7.1,,0
30061,Justice League: Crisis on Two Earths,en,23/02/2010,75,,,6.1,152,7.1,,
9474,My Name Is Nobody,it,13/12/1973,117,,,6,227,7.1,Nobody Collection,0
14412,Body Heat,en,28/08/1981,113,9000000.00,24058838.00,6,128,7.1,,1
13989,24: Redemption,en,23/11/2008,102,,,6,168,7.1,,
931,Don't Look Now,en,03/12/1973,110,1500000.00,116008.00,6,197,7.1,,0
329805,My King,fr,21/10/2015,130,,,5.9,207,7.1,,0
76589,Justice League: Doom,en,28/02/2012,77,,,5.8,197,7.1,Justice League (Animated) Collection,
11929,Dolores Claiborne,en,24/03/1995,132,,,5.8,183,7.1,,0
16563,Seven Brides for Seven Brothers,en,22/07/1954,102,,,5.7,117,7.1,,
84199,The First Time,en,19/10/2012,95,2000000.00,92654.00,5.7,725,7.1,,0
375315,The Salesman,fa,24/06/2016,125,,,5.7,158,7.1,,0
11462,Suspicion,en,14/11/1941,99,1103000.00,4500000.00,5.7,140,7.1,,
40794,Loose Cannons,it,12/02/2010,110,7000000.00,8220215.00,5.6,122,7.1,,
248933,The Dark Valley,de,14/02/2014,115,,,5.6,113,7.1,,
64720,Take Shelter,en,25/11/2011,120,5000000.00,3099314.00,5.6,479,7.1,,0
381,To Catch a Thief,en,03/08/1955,106,2500000.00,8750000.00,5.5,299,7.1,,
1548,Ghost World,en,20/07/2001,111,7000000.00,8764389.00,5.5,433,7.1,,1
79707,Children Who Chase Lost Voices,ja,07/05/2011,116,,,5.5,137,7.1,,
91739,Much Ado About Nothing,en,08/09/2012,107,,,5.5,117,7.1,,0
16633,Somewhere in Time,en,02/10/1980,103,5100000.00,9709597.00,5.4,104,7.1,,1
11850,Invasion of the Body Snatchers,en,19/12/1978,115,3500000.00,24046533.00,5.2,231,7.1,,0
65218,Lemonade Mouth,en,15/04/2011,106,,,5.2,184,7.1,,
11951,Vanishing Point,en,15/01/1971,99,1300000.00,72266306.00,5.2,110,7.1,,0
6968,The Baader Meinhof Complex,de,24/09/2008,150,20000000.00,26937355.00,5.2,157,7.1,,1
69735,Batman: Year One,en,27/09/2011,64,,,5,255,7.1,,
271674,Suite Française,en,05/11/2014,107,15000000.00,9104716.00,5,284,7.1,,
12545,Jesus Christ Superstar,en,15/08/1973,108,,,5,146,7.1,,1
2117,Sophie Scholl: The Final Days,de,13/02/2005,117,,,5,109,7.1,,1
306745,Freeheld,en,02/10/2015,103,7000000.00,573335.00,5,168,7.1,,0
10772,Django,it,05/04/1966,93,,,4.9,156,7.1,Django - Original films,0
332794,The Odyssey,fr,12/10/2016,122,,,4.9,108,7.1,,
56831,The Sunset Limited,en,12/02/2011,90,,,4.5,110,7.1,,
25300,I'm Not Scared,it,08/02/2003,108,,,4.4,235,7.1,,0
5488,"I'm a Cyborg, But That's OK",ko,07/12/2006,105,,,4.4,126,7.1,,
25623,House,ja,26/08/1977,88,,,4.3,117,7.1,,0
325690,The Legendary Giulia and Other Miracles,it,19/02/2015,115,,,4.2,116,7.1,,
51497,Fast Five,en,20/04/2011,130,125000000.00,626137675.00,1.4,2491,7.1,The Fast and the Furious Collection,0
49538,X-Men: First Class,en,24/05/2011,132,160000000.00,353624124.00,0.7,5252,7.1,X-Men Collection,0
771,Home Alone,en,09/11/1990,103,18000000.00,476684675.00,0.7,2487,7.1,Home Alone Collection,2
245891,John Wick,en,22/10/2014,101,20000000.00,88761661.00,183.9,5499,7,John Wick Collection,0
198663,The Maze Runner,en,10/09/2014,113,34000000.00,348319861.00,76.9,5540,7,The Maze Runner Collection,0
61791,Rise of the Planet of the Apes,en,03/08/2011,105,93000000.00,482860185.00,41.6,4452,7,Planet of the Apes (Reboot) Collection,1
58,Pirates of the Caribbean: Dead Man's Chest,en,20/06/2006,151,200000000.00,1065659812.00,29.5,5380,7,Pirates of the Caribbean Collection,0
381288,Split,en,15/11/2016,117,9000000.00,276921998.00,28.9,4461,7,,0
102899,Ant-Man,en,14/07/2015,117,130000000.00,519311965.00,26.9,6029,7,Ant-Man Collection,1
93456,Despicable Me 2,en,25/06/2013,98,76000000.00,970761885.00,24.8,4729,7,Despicable Me Collection,2
49051,The Hobbit: An Unexpected Journey,en,26/11/2012,169,250000000.00,1021103568.00,23.3,8427,7,The Hobbit Collection,0
102651,Maleficent,en,28/05/2014,97,180000000.00,758539785.00,19.5,4607,7,,1
268,Batman,en,23/06/1989,126,35000000.00,411348924.00,19.1,2145,7,Batman Collection,0
58574,Sherlock Holmes: A Game of Shadows,en,22/11/2011,129,125000000.00,334615000.00,18.7,3971,7,Sherlock Holmes Collection,0
324560,Brimstone,en,12/01/2017,148,,,18.5,176,7,,
363676,Sully,en,07/09/2016,96,60000000.00,238470033.00,18.3,2106,7,,1
1271,300,en,09/12/2006,117,65000000.00,422610419.00,18.1,5092,7,300 Collection,0
300671,13 Hours: The Secret Soldiers of Benghazi,en,13/01/2016,144,50000000.00,69411370.00,18,963,7,,1
310307,The Founder,en,24/11/2016,115,25000000.00,23964782.00,17.5,855,7,,0
10693,Peter Pan,en,05/02/1953,77,4000000.00,87404651.00,16.9,1380,7,Peter Pan Collection,
13183,Watchmen,en,05/03/2009,163,130000000.00,185258983.00,16.6,2892,7,,0
2055,Open Range,en,29/08/2003,139,22000000.00,68296293.00,16.5,268,7,,0
12092,Alice in Wonderland,en,03/07/1951,75,3000000.00,572000000.00,16.5,1557,7,,
62211,Monsters University,en,20/06/2013,104,200000000.00,743559607.00,16.3,3622,7,"Monsters, Inc. Collection",2
8363,Superbad,en,17/08/2007,113,20000000.00,121463226.00,16.2,2152,7,,0
290250,The Nice Guys,en,15/05/2016,116,50000000.00,62788218.00,16.1,2382,7,,0
60308,Moneyball,en,22/09/2011,133,50000000.00,110206216.00,15.8,1409,7,,0
